Mánuður,value,source,fetched_at
1994M11,-0.1,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M12,0.5,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M01,1.7,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M02,1.7,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M03,1.4,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M04,1.1,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M05,1.3,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M06,1.3,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M07,1.4,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M08,1.8,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1995M09,1.8,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
