Mánuður,value,source,fetched_at
1944M08,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M09,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M10,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M11,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M12,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M01,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M02,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M03,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M04,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M05,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M06,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M07,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M08,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M09,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M10,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M11,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1945M12,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M01,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M02,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M03,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M04,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M05,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M06,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M07,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M08,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M09,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M10,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M11,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1946M12,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M01,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M02,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M03,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M04,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M05,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M06,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M07,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M08,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M09,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M10,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M11,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1947M12,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M01,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M02,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M03,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M04,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M05,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M06,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1948M07,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
